                                 b'OLEAUT32.dll'                                         b'VariantClear'
                                 b'OLEAUT32.dll'                                       b'SysAllocString'
                                 b'OLEAUT32.dll'                                          b'VariantInit'
                                 b'OLEAUT32.dll'                                  b'SafeArrayAccessData'
                                 b'OLEAUT32.dll'                                b'SafeArrayUnaccessData'
                                 b'OLEAUT32.dll'                                        b'SysFreeString'
                                 b'OLEAUT32.dll'                                   b'SafeArrayGetLBound'
                                 b'OLEAUT32.dll'                                   b'SafeArrayGetUBound'
           b'api-ms-win-core-profile-l1-1-0.dll'                              b'QueryPerformanceCounter'
       b'api-ms-win-core-interlocked-l1-2-0.dll'                                  b'InitializeSListHead'
          b'api-ms-win-core-shutdown-l1-1-1.dll'                            b'InitiateSystemShutdownExW'
          b'api-ms-win-security-base-l1-2-0.dll'                                           b'IsValidSid'
          b'api-ms-win-security-base-l1-2-0.dll'                            b'GetSecurityDescriptorDacl'
          b'api-ms-win-security-base-l1-2-0.dll'                                  b'SetTokenInformation'
          b'api-ms-win-security-base-l1-2-0.dll'                                   b'CreateWellKnownSid'
          b'api-ms-win-security-base-l1-2-0.dll'                                              b'CopySid'
          b'api-ms-win-security-base-l1-2-0.dll'                                 b'GetSidLengthRequired'
          b'api-ms-win-security-base-l1-2-0.dll'                                   b'GetSidSubAuthority'
          b'api-ms-win-security-base-l1-2-0.dll'                                 b'CheckTokenMembership'
          b'api-ms-win-security-base-l1-2-0.dll'                                         b'GetLengthSid'
          b'api-ms-win-security-base-l1-2-0.dll'                                        b'InitializeSid'
          b'api-ms-win-security-base-l1-2-0.dll'                              b'ImpersonateLoggedOnUser'
          b'api-ms-win-security-base-l1-2-0.dll'                                b'AdjustTokenPrivileges'
          b'api-ms-win-security-base-l1-2-0.dll'                                         b'RevertToSelf'
          b'api-ms-win-security-base-l1-2-0.dll'                                      b'ImpersonateSelf'
   b'api-ms-win-core-kernel32-legacy-l1-1-1.dll'                         b'WTSGetActiveConsoleSessionId'
     b'api-ms-win-security-lsalookup-l2-1-1.dll'                                b'LookupPrivilegeValueW'
           b'api-ms-win-service-core-l1-1-1.dll'                        b'RegisterServiceCtrlHandlerExW'
           b'api-ms-win-service-core-l1-1-1.dll'                                     b'SetServiceStatus'
              b'api-ms-win-core-file-l1-2-1.dll'                                          b'DeleteFileW'
              b'api-ms-win-core-file-l1-2-1.dll'                                     b'SetFilePointerEx'
              b'api-ms-win-core-file-l1-2-1.dll'                                     b'CreateDirectoryW'
              b'api-ms-win-core-file-l1-2-1.dll'                                          b'CreateFileW'
              b'api-ms-win-core-file-l1-2-1.dll'                    b'GetVolumeNameForVolumeMountPointW'
              b'api-ms-win-core-file-l1-2-1.dll'                                            b'WriteFile'
              b'api-ms-win-core-file-l1-2-1.dll'                                   b'GetFileAttributesW'
              b'api-ms-win-core-file-l1-2-1.dll'                                         b'SetEndOfFile'
              b'api-ms-win-core-file-l1-2-1.dll'                                      b'CompareFileTime'
              b'api-ms-win-core-file-l1-2-1.dll'                                   b'GetVolumePathNameW'
              b'api-ms-win-core-file-l1-2-1.dll'                                             b'ReadFile'
    b'api-ms-win-core-shlwapi-legacy-l1-1-0.dll'                                     b'PathStripToRootW'
    b'api-ms-win-core-shlwapi-legacy-l1-1-0.dll'                                        b'PathSkipRootW'
    b'api-ms-win-core-shlwapi-legacy-l1-1-0.dll'                                  b'PathRemoveFileSpecW'
    b'api-ms-win-core-shlwapi-legacy-l1-1-0.dll'                                          b'PathIsRootW'
    b'api-ms-win-core-shlwapi-legacy-l1-1-0.dll'                                      b'PathIsFileSpecW'
       b'api-ms-win-security-trustee-l1-1-1.dll'                           b'GetEffectiveRightsFromAclW'
       b'api-ms-win-security-trustee-l1-1-1.dll'                                 b'BuildTrusteeWithSidW'
              b'api-ms-win-core-path-l1-1-0.dll'                                        b'PathCchAppend'
              b'api-ms-win-core-path-l1-1-0.dll'                                  b'PathCchAddBackslash'
              b'api-ms-win-core-path-l1-1-0.dll'                                       b'PathCchCombine'
              b'api-ms-win-core-path-l1-1-0.dll'                                          b'PathIsUNCEx'
      b'api-ms-win-security-provider-l1-1-0.dll'                                b'GetNamedSecurityInfoW'
              b'api-ms-win-core-heap-l2-1-0.dll'                                            b'LocalFree'
      b'api-ms-win-eventing-provider-l1-1-0.dll'                                   b'EventWriteTransfer'
      b'api-ms-win-eventing-provider-l1-1-0.dll'                                        b'EventRegister'
      b'api-ms-win-eventing-provider-l1-1-0.dll'                                  b'EventSetInformation'
      b'api-ms-win-eventing-provider-l1-1-0.dll'                               b'EventActivityIdControl'
      b'api-ms-win-eventing-provider-l1-1-0.dll'                                      b'EventUnregister'
                                   b'RPCRT4.dll'                                      b'UuidFromStringW'
                                   b'RPCRT4.dll'                                       b'RpcStringFreeW'
                                   b'RPCRT4.dll'                                           b'UuidCreate'
                                   b'RPCRT4.dll'                                        b'UuidToStringW'
        b'api-ms-win-eventlog-legacy-l1-1-0.dll'                                         b'ReportEventW'
        b'api-ms-win-eventlog-legacy-l1-1-0.dll'                                b'DeregisterEventSource'
        b'api-ms-win-eventlog-legacy-l1-1-0.dll'                                 b'RegisterEventSourceW'
          b'api-ms-win-core-registry-l1-1-0.dll'                                      b'RegCreateKeyExW'
          b'api-ms-win-core-registry-l1-1-0.dll'                                       b'RegSetValueExW'
          b'api-ms-win-core-registry-l1-1-0.dll'                                      b'RegDeleteValueW'
          b'api-ms-win-core-registry-l1-1-0.dll'                                        b'RegEnumValueW'
          b'api-ms-win-core-registry-l1-1-0.dll'                                     b'RegQueryValueExW'
          b'api-ms-win-core-registry-l1-1-0.dll'                                          b'RegCloseKey'
          b'api-ms-win-core-registry-l1-1-0.dll'                                        b'RegOpenKeyExW'
                                 b'IPHLPAPI.DLL'                              b'ConvertLengthToIpv4Mask'
                                 b'IPHLPAPI.DLL'                                 b'GetAdaptersAddresses'
                                 b'IPHLPAPI.DLL'                                   b'GetIpForwardTable2'
                                   b'WS2_32.dll'                                           b'WSAStartup'
                                   b'WS2_32.dll'                                                b'ntohl'
                                   b'WS2_32.dll'                                                 b'recv'
                                   b'WS2_32.dll'                                  b'WSAAddressToStringW'
                                   b'WS2_32.dll'                                               b'accept'
                                   b'WS2_32.dll'                                           b'WSACleanup'
                                   b'WS2_32.dll'                                                 b'bind'
                                   b'WS2_32.dll'                                          b'closesocket'
                                   b'WS2_32.dll'                                               b'listen'
                                   b'WS2_32.dll'                                                 b'send'
                                   b'WS2_32.dll'                                            b'InetNtopW'
                                   b'WS2_32.dll'                                               b'socket'
                                   b'WS2_32.dll'                                      b'WSAGetLastError'
                b'api-ms-win-core-io-l1-1-1.dll'                                      b'DeviceIoControl'
                b'api-ms-win-core-io-l1-1-1.dll'                                             b'CancelIo'
                b'api-ms-win-core-io-l1-1-1.dll'                                  b'GetOverlappedResult'
                b'api-ms-win-core-io-l1-1-1.dll'                                           b'CancelIoEx'
          b'api-ms-win-core-timezone-l1-1-0.dll'                                 b'FileTimeToSystemTime'
          b'api-ms-win-security-sddl-l1-1-0.dll' b'ConvertStringSecurityDescriptorToSecurityDescriptorW'
             b'api-ms-win-core-synch-l1-2-1.dll'                               b'WaitForMultipleObjects'
            b'api-ms-win-core-memory-l1-1-2.dll'                                   b'CreateFileMappingW'
            b'api-ms-win-core-memory-l1-1-2.dll'                                      b'UnmapViewOfFile'
            b'api-ms-win-core-memory-l1-1-2.dll'                                        b'MapViewOfFile'
            b'api-ms-win-core-memory-l1-1-2.dll'                                     b'OpenFileMappingW'
        b'api-ms-win-core-threadpool-l1-2-0.dll'                                 b'CreateThreadpoolWait'
        b'api-ms-win-core-threadpool-l1-2-0.dll'                                  b'CloseThreadpoolWait'
        b'api-ms-win-core-threadpool-l1-2-0.dll'                                    b'SetThreadpoolWait'
          b'api-ms-win-core-apiquery-l1-1-0.dll'                            b'ApiSetQueryApiSetPresence'
             b'api-ms-win-crt-locale-l1-1-0.dll'                                      b'_unlock_locales'
             b'api-ms-win-crt-locale-l1-1-0.dll'                                        b'_lock_locales'
         b'api-ms-win-core-delayload-l1-1-1.dll'                                 b'DelayLoadFailureHook'
         b'api-ms-win-core-delayload-l1-1-1.dll'                                b'ResolveDelayLoadedAPI'
              b'api-ms-win-core-util-l1-1-0.dll'                                        b'EncodePointer'
              b'api-ms-win-core-util-l1-1-0.dll'                                        b'DecodePointer'
