                 b'api-ms-win-core-file-l1-2-1.dll'                      b'GetFileSizeEx'
                 b'api-ms-win-core-file-l1-2-1.dll'                          b'WriteFile'
                 b'api-ms-win-core-file-l1-2-1.dll'                        b'CreateFileW'
                 b'api-ms-win-core-file-l1-2-1.dll'            b'LocalFileTimeToFileTime'
                 b'api-ms-win-core-file-l1-2-1.dll'                    b'CompareFileTime'
                 b'api-ms-win-core-file-l1-2-1.dll'                        b'DeleteFileW'
               b'api-ms-win-core-handle-l1-1-0.dll'                        b'CloseHandle'
               b'api-ms-win-core-handle-l1-1-0.dll'                    b'DuplicateHandle'
         b'api-ms-win-eventing-provider-l1-1-0.dll'                 b'EventWriteTransfer'
         b'api-ms-win-eventing-provider-l1-1-0.dll'                      b'EventRegister'
         b'api-ms-win-eventing-provider-l1-1-0.dll'                         b'EventWrite'
         b'api-ms-win-eventing-provider-l1-1-0.dll'             b'EventActivityIdControl'
         b'api-ms-win-eventing-provider-l1-1-0.dll'                    b'EventUnregister'
       b'api-ms-win-core-processthreads-l1-1-2.dll'                b'GetCurrentProcessId'
       b'api-ms-win-core-processthreads-l1-1-2.dll'                       b'ResumeThread'
       b'api-ms-win-core-processthreads-l1-1-2.dll'          b'IsProcessorFeaturePresent'
       b'api-ms-win-core-processthreads-l1-1-2.dll'                   b'TerminateProcess'
       b'api-ms-win-core-processthreads-l1-1-2.dll'                           b'TlsAlloc'
       b'api-ms-win-core-processthreads-l1-1-2.dll'                     b'SetThreadToken'
       b'api-ms-win-core-processthreads-l1-1-2.dll'                       b'CreateThread'
       b'api-ms-win-core-processthreads-l1-1-2.dll'                 b'GetCurrentThreadId'
       b'api-ms-win-core-processthreads-l1-1-2.dll'                        b'TlsSetValue'
       b'api-ms-win-core-processthreads-l1-1-2.dll'                  b'GetCurrentProcess'
       b'api-ms-win-core-processthreads-l1-1-2.dll'                   b'OpenProcessToken'
       b'api-ms-win-core-processthreads-l1-1-2.dll'                   b'GetCurrentThread'
       b'api-ms-win-core-processthreads-l1-1-2.dll'                    b'OpenThreadToken'
       b'api-ms-win-core-processthreads-l1-1-2.dll'                        b'TlsGetValue'
       b'api-ms-win-core-processthreads-l1-1-2.dll'                            b'TlsFree'
                b'api-ms-win-core-wow64-l1-1-1.dll'  b'Wow64SetThreadDefaultGuestMachine'
             b'api-ms-win-security-base-l1-2-0.dll'            b'ImpersonateLoggedOnUser'
             b'api-ms-win-security-base-l1-2-0.dll'               b'CheckTokenMembership'
             b'api-ms-win-security-base-l1-2-0.dll'                        b'AccessCheck'
             b'api-ms-win-security-base-l1-2-0.dll'                   b'DuplicateTokenEx'
             b'api-ms-win-security-base-l1-2-0.dll'                            b'CopySid'
             b'api-ms-win-security-base-l1-2-0.dll'                       b'RevertToSelf'
             b'api-ms-win-security-base-l1-2-0.dll'                b'GetTokenInformation'
             b'api-ms-win-security-base-l1-2-0.dll'                     b'DuplicateToken'
        b'api-ms-win-core-libraryloader-l1-2-0.dll'                     b'LoadLibraryExA'
        b'api-ms-win-core-libraryloader-l1-2-0.dll'                     b'LoadLibraryExW'
        b'api-ms-win-core-libraryloader-l1-2-0.dll'                        b'FreeLibrary'
        b'api-ms-win-core-libraryloader-l1-2-0.dll'                 b'GetModuleHandleExA'
        b'api-ms-win-core-libraryloader-l1-2-0.dll'                     b'GetProcAddress'
           b'api-ms-win-core-threadpool-l1-2-0.dll'               b'SubmitThreadpoolWork'
           b'api-ms-win-core-threadpool-l1-2-0.dll'               b'CreateThreadpoolWork'
           b'api-ms-win-core-threadpool-l1-2-0.dll'              b'CreateThreadpoolTimer'
           b'api-ms-win-core-threadpool-l1-2-0.dll'               b'CloseThreadpoolTimer'
           b'api-ms-win-core-threadpool-l1-2-0.dll'                 b'SetThreadpoolTimer'
           b'api-ms-win-core-threadpool-l1-2-0.dll'       b'CreateThreadpoolCleanupGroup'
           b'api-ms-win-core-threadpool-l1-2-0.dll'     b'WaitForThreadpoolWorkCallbacks'
           b'api-ms-win-core-threadpool-l1-2-0.dll' b'CloseThreadpoolCleanupGroupMembers'
           b'api-ms-win-core-threadpool-l1-2-0.dll'        b'CloseThreadpoolCleanupGroup'
           b'api-ms-win-core-threadpool-l1-2-0.dll'                 b'CallbackMayRunLong'
           b'api-ms-win-core-threadpool-l1-2-0.dll'               b'CreateThreadpoolWait'
           b'api-ms-win-core-threadpool-l1-2-0.dll'                b'CloseThreadpoolWait'
           b'api-ms-win-core-threadpool-l1-2-0.dll'                  b'SetThreadpoolWait'
           b'api-ms-win-core-threadpool-l1-2-0.dll'     b'WaitForThreadpoolWaitCallbacks'
           b'api-ms-win-core-threadpool-l1-2-0.dll'    b'WaitForThreadpoolTimerCallbacks'
           b'api-ms-win-core-threadpool-l1-2-0.dll'     b'FreeLibraryWhenCallbackReturns'
           b'api-ms-win-core-threadpool-l1-2-0.dll'                b'CloseThreadpoolWork'
         b'api-ms-win-core-localization-l1-2-1.dll'                         b'IdnToAscii'
                b'api-ms-win-core-debug-l1-1-1.dll'                  b'IsDebuggerPresent'
              b'api-ms-win-core-profile-l1-1-0.dll'            b'QueryPerformanceCounter'
          b'api-ms-win-core-interlocked-l1-2-0.dll'          b'InterlockedPushEntrySList'
          b'api-ms-win-core-interlocked-l1-2-0.dll'                b'InitializeSListHead'
          b'api-ms-win-core-interlocked-l1-2-0.dll'           b'InterlockedPopEntrySList'
   b'api-ms-win-core-processenvironment-l1-2-0.dll'          b'ExpandEnvironmentStringsW'
                   b'api-ms-win-core-io-l1-1-1.dll'                    b'DeviceIoControl'
    b'api-ms-win-core-threadpool-legacy-l1-1-0.dll'                  b'QueueUserWorkItem'
    b'api-ms-win-core-threadpool-legacy-l1-1-0.dll'                   b'UnregisterWaitEx'
     b'api-ms-win-core-shlwapi-obsolete-l1-2-0.dll'                          b'StrCmpNCA'
     b'api-ms-win-core-shlwapi-obsolete-l1-2-0.dll'                            b'StrStrA'
     b'api-ms-win-core-shlwapi-obsolete-l1-2-0.dll'                            b'StrChrW'
     b'api-ms-win-core-shlwapi-obsolete-l1-2-0.dll'                           b'StrStrIA'
     b'api-ms-win-core-shlwapi-obsolete-l1-2-0.dll'                         b'StrCmpNICA'
b'api-ms-win-core-localization-obsolete-l1-3-0.dll'                     b'CompareStringA'
      b'api-ms-win-core-string-obsolete-l1-1-0.dll'                          b'lstrcmpiW'
      b'api-ms-win-core-string-obsolete-l1-1-0.dll'                           b'lstrcmpA'
        b'api-ms-win-core-heap-obsolete-l1-1-0.dll'                      b'GlobalReAlloc'
                  b'api-ms-win-core-url-l1-1-0.dll'                       b'UrlUnescapeA'
                  b'api-ms-win-core-url-l1-1-0.dll'                        b'UrlCombineW'
                  b'api-ms-win-core-url-l1-1-0.dll'                   b'UrlCanonicalizeW'
   b'api-ms-win-core-threadpool-private-l1-1-0.dll'      b'RegisterWaitForSingleObjectEx'
        b'api-ms-win-core-errorhandling-l1-1-3.dll'             b'RaiseFailFastException'
               b'api-ms-win-core-memory-l1-1-2.dll'                       b'VirtualAlloc'
               b'api-ms-win-core-memory-l1-1-2.dll'                        b'VirtualFree'
               b'api-ms-win-core-string-l2-1-0.dll'                         b'CharLowerW'
        b'api-ms-win-core-libraryloader-l1-2-2.dll'                       b'LoadLibraryW'
            b'api-ms-win-core-delayload-l1-1-1.dll'              b'ResolveDelayLoadedAPI'
            b'api-ms-win-core-delayload-l1-1-1.dll'               b'DelayLoadFailureHook'
             b'api-ms-win-core-apiquery-l1-1-0.dll'          b'ApiSetQueryApiSetPresence'
