      b'api-ms-win-service-management-l1-1-0.dll'                            b'StartServiceW'
      b'api-ms-win-service-management-l1-1-0.dll'                           b'OpenSCManagerW'
           b'api-ms-win-core-timezone-l1-1-0.dll'                     b'FileTimeToSystemTime'
          b'api-ms-win-service-winsvc-l1-2-0.dll'                       b'QueryServiceStatus'
           b'api-ms-win-security-base-l1-2-0.dll'                 b'AllocateAndInitializeSid'
           b'api-ms-win-security-base-l1-2-0.dll'                                  b'FreeSid'
           b'api-ms-win-security-base-l1-2-0.dll'                     b'CheckTokenMembership'
             b'api-ms-win-core-handle-l1-1-0.dll'                              b'CloseHandle'
           b'api-ms-win-security-sddl-l1-1-0.dll'                   b'ConvertStringSidToSidW'
               b'api-ms-win-core-heap-l2-1-0.dll'                                b'LocalFree'
b'api-ms-win-eventing-classicprovider-l1-1-0.dll'                           b'TraceMessageVa'
