b'ADVAPI32.dll'                                                   b'IsTextUnicode'
    b'ulib.dll'                               b'?Initialize@WSTRING@@QEAAEPEBDK@Z'
    b'ulib.dll'                         b'?Initialize@PATH_ARGUMENT@@QEAAEPEADE@Z'
    b'ulib.dll'                                     b'?WriteByte@STREAM@@QEAAEE@Z'
    b'ulib.dll'                                      b'??0STREAM_MESSAGE@@QEAA@XZ'
    b'ulib.dll'                                      b'??1STREAM_MESSAGE@@UEAA@XZ'
    b'ulib.dll'                                     b'??1STRING_ARGUMENT@@UEAA@XZ'
    b'ulib.dll'               b'?Initialize@STREAM_MESSAGE@@QEAAEPEAVSTREAM@@00@Z'
    b'ulib.dll'                                               b'??0ARRAY@@QEAA@XZ'
    b'ulib.dll'                                               b'??1ARRAY@@UEAA@XZ'
    b'ulib.dll'                                    b'?Initialize@ARRAY@@QEAAEKK@Z'
    b'ulib.dll'                                 b'?Put@ARRAY@@UEAAEPEAVOBJECT@@@Z'
    b'ulib.dll' b'?QueryStream@FSN_FILE@@QEAAPEAVFILE_STREAM@@W4STREAMACCESS@@K@Z'
    b'ulib.dll'                                       b'??0LONG_ARGUMENT@@QEAA@XZ'
    b'ulib.dll'                          b'?Initialize@LONG_ARGUMENT@@QEAAEPEAD@Z'
    b'ulib.dll'                                       b'Get_Standard_Input_Stream'
    b'ulib.dll'                                             b'??1DSTRING@@UEAA@XZ'
    b'ulib.dll'                                  b'??1ARGUMENT_LEXEMIZER@@UEAA@XZ'
    b'ulib.dll'                                        b'??1PRINT_STREAM@@UEAA@XZ'
   b'ntdll.dll'                                          b'RtlLookupFunctionEntry'
   b'ntdll.dll'                                               b'RtlCaptureContext'
   b'ntdll.dll'                                                     b'RtlFreeHeap'
   b'ntdll.dll'                                                 b'RtlAllocateHeap'
   b'ntdll.dll'                                                b'RtlVirtualUnwind'
