Function,Name,Dll,AmountInGoodwares,AmountInRansomwares
b'CertDuplicateCRLContext',3,1,3,0
b'??0?$AutoDeleteVector@E@@QEAA@XZ',3,1,3,0
b'PackageFullNameFromProductId',3,2,3,0
b'MprAdminUserRead',3,1,3,0
b'RouterAllocBidiResponseContainer',3,1,3,0
b'GetUserLanguagesForUser',3,1,3,0
b'LsaSetTrustedDomainInfoByName',3,1,3,0
b'WNetUseConnectionW',3,1,1,2
b'ImmCreateContext',3,1,2,1
b'alljoyn_msgarg_destroy',3,1,3,0
b'RtlAddProcessTrustLabelAce',3,1,3,0
b'RtlAddGrowableFunctionTable',3,2,3,0
b'ImmDestroyContext',3,1,2,1
b'mixerOpen',3,2,3,0
b'?wait@event@Concurrency@@QEAA_KI@Z',3,3,3,0
b'alljoyn_shutdown',3,1,3,0
b'ADSICloseSearchHandle',3,1,3,0
b'MprAdminUserOpen',3,1,3,0
b'CreateEnhMetaFileA',3,1,3,0
b'NtReadOnlyEnlistment',3,2,3,0
b'CreatePropertySheetPageA',3,1,2,1
b'MprAdminUserServerConnect',3,1,3,0
b'GetUdpTable',3,1,3,0
b'alljoyn_sessionopts_destroy',3,1,3,0
b'LsaUnregisterPolicyChangeNotification',3,1,3,0
b'MprAdminUserServerDisconnect',3,1,3,0
b'GetUILanguageInfo',3,3,3,0
b'?Begin@CRtlMap@@QEAA?AVCRtlMapIter@@XZ',3,1,3,0
b'WSDCreateDiscoveryProvider',3,1,3,0
b'?BroadcastEvent@Element@DirectUI@@QEAAXPEAUEvent@2@@Z',3,1,3,0
b'KdInitializeLibrary',3,1,3,0
b'ImmAssociateContextEx',3,1,3,0
b'BcdExportStore',3,1,3,0
b'NtUnlockFile',3,1,3,0
b'NtUnloadDriver',3,1,3,0
b'CreateProcessInternalW',3,1,3,0
b'?Add@NUMBER_SET@@QEAAEVBIG_INT@@@Z',3,1,3,0
b'?get_height@SizeInPixels@ngeo@@QEBAMXZ',3,1,3,0
b'GetVolumeNameForVolumeMountPointA',3,1,3,0
b'RouterFreeBidiMem',3,1,3,0
b'ADSIGetColumn',3,1,3,0
b'mmTaskCreate',3,2,3,0
b'?AddSnapinInterface@BookKeeping@@SA_NPEAUIUnknown@@PEBGAEAH@Z',3,1,3,0
b'ADSIGetFirstRow',3,1,3,0
b'ADSIGetNextRow',3,1,3,0
b'?get_info@Location@ngeo@@QEBAAEBVLocationInfo@2@XZ',3,1,3,0
b'CreatePointerMoniker',3,1,3,0
b'KeWaitForMultipleObjects',3,1,3,0
b'ADSISetSearchPreference',3,1,3,0
b'WSCGetProviderPath',3,1,3,0
b'WSDRemoveFirewallCheck',3,1,3,0
b'CreateHostNameFromString',3,1,3,0
b'RtlAppendPathElement',3,1,3,0
b'ImmGetCandidateListW',3,1,3,0
b'NetpwNameCompare',3,1,3,0
b'wnsprintfW',3,1,3,0
b'ADSIFreeColumn',3,1,3,0
b'ADSIExecuteSearch',3,1,3,0
b'CreateIcon',3,2,2,1
b'?AddRef@RefcountBase@DirectUI@@QEAAJXZ',3,1,3,0
b'CreateProcessAsUserA',3,2,2,1
b'ADSIDeleteDSObject',3,1,3,0
b'ImmEscapeW',3,1,3,0
b'RtlAddSIDToBoundaryDescriptor',3,1,3,0
b'NetDfsAdd',3,1,3,0
b'CreateIconFromResourceEx',3,1,2,1
b'SetWinMetaFileBits',3,2,1,2
b'mmGetCurrentTask',3,2,3,0
b'WSDXMLGetValueFromAny',3,1,3,0
b'RtlAllocateHandle',3,1,3,0
b'ImmLockIMC',3,1,3,0
b'?Append@CPrvEnumObject@@QEAAJPEAUIUnknown@@@Z',3,1,3,0
b'SetUserObjectSecurity',3,1,2,1
b'ReportPersistentIScsiDevicesW',3,1,3,0
b'ImmGetGuideLineW',3,1,3,0
b'NtRecoverResourceManager',3,2,3,0
b'RouterAllocBidiMem',3,1,3,0
b'?widen@?$basic_ios@DU?$char_traits@D@std@@@std@@QEBADD@Z',3,1,3,0
b'alljoyn_init',3,1,3,0
b'?Add@Element@DirectUI@@QEAAJPEAV12@P6AHPEBX1@Z@Z',3,1,3,0
b'RasAllocInterfaceLuidIndex',3,1,3,0
b'LdrGetDllPath',3,1,3,0
b'NtQuerySystemEnvironmentValue',3,1,3,0
b'GetWindowMinimizeRect',3,1,3,0
b'ImmGetDefaultIMEWnd',3,1,3,0
b'??$check_version@$0BC@$0CC@@priv@spl_v18@@YAHXZ',3,1,3,0
b'RtlAssert',3,1,3,0
b'?AllocBstr@WSManMemory@@SAPEAGPEBGHH@Z',3,1,3,0
b'CreateLegacyTmInstance',3,1,3,0
b'SetWindowFeedbackSetting',3,1,3,0
b'NetDfsEnum',3,1,3,0
b'wvsprintfW',3,1,3,0
b'NtQueryQuotaInformationFile',3,1,3,0
b'?Alloc@Concurrency@@YAPEAX_K@Z',3,3,3,0
b'SetupCloseLog',3,1,3,0
b'RasSetEapUserDataW',3,1,3,0
b'??0?$AutoDeleteVector@G@@QEAA@PEAG@Z',3,1,3,0
b'ReportSyncProgress',3,1,3,0
b'CreateLocalTmInstance',3,1,3,0
b'NtRecoverTransactionManager',3,2,3,0
b'CreateDeviceInfoSet',3,1,3,0
b'alljoyn_sessionopts_create',3,1,3,0
b'ResUtilDupParameterBlock',3,1,3,0
b'WSDAddFirewallCheck',3,1,3,0
b'wmemmove_s',3,2,3,0
b'??0?$AutoDeleteVector@G@@QEAA@XZ',3,1,3,0
b'CreateMailslotA',3,2,3,0
b'NtRecoverEnlistment',3,2,3,0
b'?Add@NUMBER_SET@@QEAAEVBIG_INT@@0@Z',3,1,3,0
b'?Allocate@MEM_ALLOCATOR@@QEAAPEAXK@Z',3,1,3,0
b'?unlock@critical_section@Concurrency@@QEAAXXZ',3,3,3,0
b'GetUserObjectSecurity',3,1,2,1
b'MprAdminUserClose',3,1,3,0
b'sqlite3_malloc',2,1,2,0
b'RtlQueryPerformanceFrequency',2,1,2,0
b'RtlLockMemoryZone',2,1,2,0
b'RtcPalAllocMemoryWithTag',2,1,2,0
b'?IsCorrectVersion@SYSTEM@@SAEXZ',2,1,2,0
b'RtlSidHashInitialize',2,1,2,0
b'RTGetInternalCert',2,1,2,0
b'??1CIniW@@QEAA@XZ',2,1,2,0
b'??0Route@ngeo@@QEAA@AEBV01@@Z',2,1,2,0
b'RtlLocateLegacyContext',2,1,2,0
b'NtSetTimer2',2,1,2,0
b'RtcPalCleanup',2,1,2,0
b'FwXmlGetChild',2,1,2,0
b'RtlLockMemoryBlockLookaside',2,1,2,0
b'IsDiskClustered',2,1,2,0
b'?OnListenerDetach@BaseScrollViewer@DirectUI@@UEAAXPEAVElement@2@@Z',2,1,2,0
b'RtcPalAllocateWorkItem',2,1,2,0
b'GdipSetClipRectI',2,1,2,0
b'??1CString@@QEAA@XZ',2,1,2,0
b'GdipGetPropertySize',2,1,2,0
b'I_CertDiagControl',2,1,2,0
b'NtSignalAndWaitForSingleObject',2,1,2,0
b'RpcBindingInqAuthInfoW',2,1,2,0
b'GdipSaveAddImage',2,1,2,0
b'RtlIsValidHandle',2,1,2,0
b'InitializeMsaStore',2,1,2,0
b'I_CryptWalkAllLruCacheEntries',2,1,2,0
b'midiStreamStop',2,2,2,0
b'LocalFlags',2,1,2,0
b'?IsDestroyed@Element@DirectUI@@QEAA_NXZ',2,1,2,0
b'RasGetPbkPath',2,1,2,0
b'RtlRegisterSecureMemoryCacheCallback',2,1,2,0
b'RsopSetPolicySettingStatus',2,1,2,0
b'GdiEntry3',2,1,2,0
b'RtlIsProcessorFeaturePresent',2,1,2,0
b'FwXmlIsEmpty',2,1,2,0
b'?Merge@Registry@container@@YAAEAVNode@2@XZ',2,1,2,0
b'GdipRemovePropertyItem',2,1,2,0
b'FwXmlIsSimpleContent',2,1,2,0
b'sqlite3_initialize',2,1,2,0
b'GdipMeasureString',2,1,2,0
b'FwXmlNumChildren',2,1,2,0
b'??1CVdsAsyncObjectBase@@QEAA@XZ',2,1,2,0
b'RtlQueryProtectedPolicy',2,1,2,0
b'GdipLoadImageFromStream',2,1,2,0
b'I_CryptGetTls',2,1,2,0
b'LsarSetSecret',2,1,2,0
b'RouterLogEventStringA',2,1,2,0
b'_o___std_type_info_name',2,1,2,0
b'I_CryptDetachTls',2,1,2,0
b'GdiEntry6',2,1,2,0
b'I_CryptEnumMatchingLruEntries',2,1,2,0
b'RmRegisterResource',2,1,2,0
b'RtcPalAcquireSlimLock',2,1,2,0
b'NtSetUuidSeed',2,1,2,0
b'I_CryptFlushLruCache',2,1,2,0
b'I_CryptSetTls',2,1,2,0
b'RsopAccessCheckByType',2,1,2,0
b'GdiEntry2',2,1,2,0
b'?IsDiskEmpty@CDMNodeObj@@QEAAHXZ',2,1,2,0
b'FwXmlParserCreate',2,1,2,0
b'?IsCurrBootVolume@CDMNodeObj@@QEAAHXZ',2,1,2,0
b'FwXmlParseText',2,1,2,0
b'sqlite3_vfs_unregister',2,1,2,0
b'I_CryptFreeTls',2,1,2,0
b'?IsCurrSystemVolume@CDMNodeObj@@QEAAHXZ',2,1,2,0
b'InternalCreateIpForwardEntry2',2,1,2,0
b'NtUnloadKeyEx',2,1,2,0
b'RtcPalCloseWaitableHandle',2,1,2,0
b'??1BufferFormatter@@UEAA@XZ',2,1,2,0
b'InternalCreateUnicastIpAddressEntry',2,1,2,0
b'IPsecSaContextDeleteById0',2,1,2,0
b'RtlQueueAcquireFastLockShared',2,1,2,0
b'?Initialize@TIMEINFO@@QEAAEPEAU_FILETIME@@@Z',2,1,2,0
b'?Initialize@TIMEINFO@@QEAAXPEBV1@@Z',2,1,2,0
b'IPSecSetPolicyData',2,1,2,0
b'FwFreeAddresses',2,1,2,0
b'GdipTranslateWorldTransform',2,1,2,0
b'IPSecUnassignPolicy',2,1,2,0
b'mixerGetDevCapsW',2,2,2,0
b'LockHandle',2,1,2,0
b'IofCallDriver',2,1,2,0
b'??1RouteWaypoint@ngeo@@UEAA@XZ',2,1,2,0
b'??1RoutePlan@ngeo@@QEAA@XZ',2,1,2,0
b'mixerGetNumDevs',2,2,2,0
b'RtlTryAcquireFastLockShared',2,1,2,0
b'?InsertTailPointer@CRtlList@@QEAAHPEAX@Z',2,1,2,0
b'RCClass_AddMethod',2,1,2,0
b'RtlTryAcquireFastLockExclusive',2,1,2,0
b'?InsertUnique@CRtlMap@@QEAAHAEAVCRtlEntry@@0@Z',2,1,2,0
b'RtlQueueAcquireFastLockExclusive',2,1,2,0
b'RCClass_AddMethodParameter',2,1,2,0
b'NtTraceEvent',2,1,2,0
b'??1RouteElement@ngeo@@QEAA@XZ',2,1,2,0
b'RtlQueryWnfStateDataWithExplicitScope',2,1,2,0
b'RCClass_AddMethodParameterQualifier',2,1,2,0
b'RCClass_AddMethodParameterQualifierArray',2,1,2,0
b'IPSecSetNegPolData',2,1,2,0
b'GenerateGPNotificationInternal',2,1,2,0
b'pSetupConcatenatePaths',2,1,2,0
b'FwCopyWFAddressesContents',2,1,2,0
b'ImageRvaToVa',2,1,1,1
b'?OnPropertyChanged@RichText@DirectUI@@UEAAXPEBUPropertyInfo@2@HPEAVValue@2@1@Z',2,1,2,0
b'?OnPropertyChanged@Macro@DirectUI@@UEAAXPEBUPropertyInfo@2@HPEAVValue@2@1@Z',2,1,2,0
b'InstanceToWMIObject',2,1,2,0
b'IPSecGetISAKMPData',2,1,2,0
b'RtlTryAcquireSRWLockShared',2,1,2,0
b'pSetupDiEnumSelectedDrivers',2,1,2,0
b'RtlIoEncodeMemIoResource',2,1,2,0
b'IPSecGetNegPolData',2,1,2,0
b'IPSecImportPolicies',2,1,2,0
b'GdiAddFontResourceW',2,1,2,0
b'IPSecIsDomainPolicyAssigned',2,1,2,0
b'IPSecSetNFAData',2,1,2,0
b'IPSecOpenPolicyStore',2,1,2,0
b'InstallHinfSectionW',2,1,2,0
b'mixerGetLineControlsA',2,2,2,0
b'??0Provider@@QEAA@PEBG0@Z',2,1,2,0
b'?MouseFocusedProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ',2,1,2,0
b'IPSecSetFilterData',2,1,2,0
b'mixerGetID',2,2,2,0
b'?Initialize@Selector@DirectUI@@QEAAJPEAVElement@2@PEAK@Z',2,1,2,0
b'IPSecSetISAKMPData',2,1,2,0
b'MFCreateAlignedMemoryBuffer',2,1,2,0
b'PshedIsSystemWheaEnabled',2,1,2,0
b'GPMCMessageBox',2,1,2,0
b'FwIsRemoteManagementEnabled',2,1,2,0
b'FwXmlGetAttributeValue',2,1,2,0
b'?OnPropertyChanged@Button@DirectUI@@UEAAXPEBUPropertyInfo@2@HPEAVValue@2@1@Z',2,1,2,0
b'GdipSetPenDashArray',2,1,2,0
b'??1Route@ngeo@@QEAA@XZ',2,1,2,0
b'sqlite3_get_autocommit',2,1,2,0
b'IsBadStringPtrW',2,1,2,0
b'NtSetSystemEnvironmentValue',2,1,2,0
b'?InvokePattern@Schema@DirectUI@@2HA',2,1,2,0
b'??1RichText@DirectUI@@UEAA@XZ',2,1,2,0
b'RtlReadThreadProfilingData',2,1,2,0
b'ImmGetCandidateListCountA',2,1,1,1
b'GdiEntry10',2,1,2,0
b'RasCompressionSetInfo',2,1,2,0
b'RtcPalCreateEvent',2,1,2,0
b'RtlIsNameInExpression',2,1,2,0
b'InitializePlatformLibrary',2,1,2,0
b'RtlIsNameLegalDOS8Dot3',2,1,2,0
b'RtlQuerySecurityObject',2,1,2,0
b'?MkHiv@Setup@container@@YAAEAVNode@2@XZ',2,1,2,0
b'?MkDir@Setup@container@@YAAEAVNode@2@XZ',2,1,2,0
b'RemoveEventSource',2,1,2,0
b'??0Route@ngeo@@QEAA@XZ',2,1,2,0
b'IUnknown_GetWindow',2,1,2,0
b'lineAddProviderW',2,1,2,0
b'??1Provider@@UEAA@XZ',2,1,2,0
b'ImmGetCompositionFontW',2,1,2,0
b'ImmGetCompositionStringA',2,1,1,1
b'FwStringCopy',2,1,2,0
b'GdipSetPenDashStyle',2,1,2,0
b'GdiDrawStream',2,1,2,0
b'RtcPalCreateThread',2,1,2,0
b'IPsecSaContextEnum0',2,1,2,0
b'??0bad_typeid@@QEAA@AEBV0@@Z',2,1,2,0
b'ReleaseLayeredRef',2,2,2,0
b'GdipSetStringFormatFlags',2,1,2,0
b'MFCopyImage',2,1,2,0
b'ImmConfigureIMEA',2,1,1,1
b'RCClass_AddMethodParameterQualifierArrayItem',2,1,2,0
b'RCClass_AddMethodQualifier',2,1,2,0
b'RCClass_AddMethodQualifierArray',2,1,2,0
b'_ftime64',2,1,2,0
b'ImmConfigureIMEW',2,1,2,0
b'RCClass_AddMethodQualifierArrayItem',2,1,2,0
b'IsDiskReadOnly',2,1,2,0
b'strcoll',2,1,2,0
b'_lcreat',2,1,2,0
b'ImmDisableTextFrameService',2,1,2,0
b'RtlStartRXact',2,1,2,0
b'GdipSetPropertyItem',2,1,2,0
b'ISO8601StringToSystemTime',2,1,2,0
b'mixerGetControlDetailsA',2,2,2,0
b'pSetupDiGetStrongNameForDriverNode',2,1,2,0
b'GdiDllInitialize',2,2,2,0
b'ResultFromHRESULT',2,1,2,0
b'LsarQueryDomainInformationPolicy',2,1,2,0
b'LoadPackagedLibrary',2,1,2,0
b'??1CWSManResourceNoResourceUri@@UEAA@XZ',2,1,2,0
b'RasDeleteEntryW',2,1,2,0
b'?OnEvent@RichText@DirectUI@@UEAAXPEAUEvent@2@@Z',2,1,2,0
b'RasGetFramingCapabilities',2,1,2,0
b'??0PixelCoordinates@ngeo@@QEAA@XZ',2,1,2,0
b'IdnNameCompare',2,1,2,0
b'GdiSetBatchLimit',2,1,2,0
b'?Key@Registry@container@@YAAEAVNode@2@V?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z',2,1,2,0
b'?Key@Registry@container@@YAAEAVNode@2@XZ',2,1,2,0
b'IcmpSendEcho2Ex',2,1,2,0
b'FwpmIPsecTunnelAdd0',2,1,2,0
b'FwpmIPsecTunnelAdd2',2,1,2,0
b'LsarEnumerateTrustedDomainsEx',2,1,2,0
b'?LKResult2HRESULT@BookKeeping@@SAJ_J@Z',2,1,2,0
b'midiOutGetDevCapsA',2,2,2,0
b'GdipCreateMatrix2',2,1,2,0
b'I_RpcServerDisableExceptionFilter',2,1,2,0
b'??1INTSTACK@@UEAA@XZ',2,1,2,0
b'?Layer@Registry2@container@@YAAEAVNode@2@XZ',2,1,2,0
b'??1AutoBstrNoAlloc@@QEAA@XZ',2,1,2,0
b'RtlQueryActivationContextApplicationSettings',2,1,2,0
b'?OnEvent@BaseScrollViewer@DirectUI@@UEAAXPEAUEvent@2@@Z',2,1,2,0
b'GdipCreateLineBrushFromRect',2,1,1,1
b'GdipCreateLineBrush',2,1,2,0
b'GdiSupportsFontChangeEvent',2,2,2,0
b'?OnInput@BaseScrollViewer@DirectUI@@UEAAXPEAUInputEvent@2@@Z',2,1,2,0
b'_getcwd',2,2,2,0
b'?OnEvent@Expando@DirectUI@@UEAAXPEAUEvent@2@@Z',2,1,2,0
b'RtlSetEnvironmentStrings',2,1,2,0
b'?OnHosted@RichText@DirectUI@@UEAAXPEAVElement@2@@Z',2,1,2,0
b'??1Icon@ngeo@@QEAA@XZ',2,1,2,0
b'midiInUnprepareHeader',2,2,2,0
b'RouterAllocPrinterNotifyInfo',2,1,2,0
b'IncrementPackageStatusVersion',2,2,2,0
b'pSetupInfGetDigitalSignatureInfo',2,1,2,0
b'midiInMessage',2,2,2,0
b'midiInOpen',2,2,2,0
b'??1LIST@@UEAA@XZ',2,1,2,0
b'GdipDrawArcI',2,1,2,0
b'mmioRenameW',2,2,2,0
b'??1?$CEventLock@UAppEvents@@@@QEAA@XZ',2,1,2,0
b'pSetupInfIsInbox',2,1,2,0
b'NtGdiSetRectRgn',2,2,2,0
b'FwpmFilterGetByKey0',2,1,2,0
b'midiInPrepareHeader',2,2,2,0
b'??0PixelRect@ngeo@@QEAA@MMMM@Z',2,1,2,0
b'midiInReset',2,2,2,0
b'?KeepErrorHistory@COutputReport@@QEAAXPEB_WGJ@Z',2,1,2,0
b'_mbslwr',2,1,2,0
b'midiInStart',2,2,2,0
b'RpcNetworkIsProtseqValidW',2,1,2,0
b'FwpmSubLayerAdd0',2,1,2,0
b'??1Deserializer@Comms@@QEAA@XZ',2,1,2,0
b'??1DynamicPenalty@ngeo@@QEAA@XZ',2,1,2,0
b'??1ADMINFILEPRIVS@@QEAA@XZ',2,1,2,0
b'RoSetErrorReportingFlags',2,1,2,0
b'ImmInstallIMEA',2,1,1,1
b'sqlite3_vfs_register',2,1,2,0
b'?Junction@Registry@container@@YAAEAVNode@2@V?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z',2,1,2,0
b'LsarOpenPolicy',2,1,2,0
b'ImpersonateAnyClient',2,1,2,0
b'??0UncheckedMutex@auf_v18@@QEAA@PEBD_N@Z',2,1,2,0
b'lineRemoveProvider',2,1,2,0
b'?MMCErrorBox@@YAHVSC@mmcerror@@I@Z',2,1,2,0
b'_heapmin',2,1,2,0
b'RpcErrorGetNumberOfRecords',2,1,2,0
b'??0PixelCoordinates@ngeo@@QEAA@MM@Z',2,1,2,0
b'ImmSetCompositionWindow',2,1,2,0
b'RtlSelfRelativeToAbsoluteSD',2,1,2,0
b'IcfAddrChangeNotificationCreate',2,1,2,0
b'mmioOpenA',2,2,2,0
b'ImmSetCompositionFontW',2,1,2,0
b'sqlite3_shutdown',2,1,2,0
b'IcfChangeNotificationCreate',2,1,2,0
b'RpcCertGeneratePrincipalNameW',2,1,2,0
b'FwpmProviderContextEnum2',2,1,2,0
b'ImmSetCompositionFontA',2,1,1,1
b'_lsearch_s',2,1,2,0
b'ImmSetCandidateWindow',2,1,2,0
b'RollbackTransaction',2,1,2,0
b'RpcErrorClearInformation',2,1,2,0
b'RpcErrorAddRecord',2,1,2,0
b'??1BYTE_STREAM@@UEAA@XZ',2,1,2,0
b'FwpmProviderContextSubscribeChanges0',2,1,2,0
b'GdipBitmapSetResolution',2,1,2,0
b'midiOutSetVolume',2,2,2,0
b'ImmRegisterWordW',2,1,2,0
b'??1Expando@DirectUI@@UEAA@XZ',2,1,2,0
b'FwpmProviderContextUnsubscribeChanges0',2,1,2,0
b'??1Button@DirectUI@@UEAA@XZ',2,1,2,0
b'??1Event@auf_v18@@QEAA@XZ',2,1,2,0
b'?OnFinalRelease@CThreadBase@@MEAAXXZ',2,1,2,0
b'RpcErrorResetEnumeration',2,1,2,0
b'RpcErrorSaveErrorInfo',2,1,2,0
b'?Look@INTSTACK@@QEBA?AVBIG_INT@@K@Z',2,1,2,0
b'midiOutGetErrorTextW',2,2,2,0
b'FwpmProviderGetByKey0',2,1,2,0
b'I_RpcSessionStrictContextHandle',2,1,2,0
b'??1AutoLocalFree@@QEAA@XZ',2,1,2,0
b'LsarCreateSecret',2,1,2,0
b'RtlOwnerAcesPresent',2,1,2,0
b'GdipAddPathLine',2,1,2,0
b'GdipCreateFontFromLogfontA',2,1,2,0
b'GdipCreateFontFromDC',2,1,2,0
b'?MMCErrorBox@@YAHPEBGI@Z',2,1,2,0
b'?Load@Registry@container@@YAAEAVNode@2@XZ',2,1,2,0
b'?MMCErrorBox@@YAHII@Z',2,1,2,0
b'RpcMgmtEnableIdleCleanup',2,1,2,0
b'??1GeoCoordinates@ngeo@Microsoft@@UEAA@XZ',2,1,2,0
b'RtlSetCurrentEnvironment',2,1,2,0
b'ImmTranslateMessage',2,1,2,0
b'I_ScBroadcastServiceControlMessage',2,1,2,0
b'?LogMsg@MESSAGE@@QEAAEKPEBDZZ',2,1,2,0
b'GdipCreateBitmapFromStreamICM',2,1,2,0
b'ImmSimulateHotKey',2,1,1,1
b'_getwch',2,1,2,0
b'??1GeoPolygon@ngeo@@UEAA@XZ',2,1,2,0
b'RollbackEnlistment',2,1,2,0
b'FwpmProviderContextCreateEnumHandle0',2,1,2,0
b'?OnEvent@Selector@DirectUI@@UEAAXPEAUEvent@2@@Z',2,1,2,0
b'GdipCreateBitmapFromResource',2,1,2,0
b'midiInGetNumDevs',2,2,2,0
b'??1DIGRAPH@@UEAA@XZ',2,1,2,0
b'RasGetErrorStringW',2,1,2,0
b'midiInGetID',2,2,1,1
b'RtlReleaseFastLockExclusive',2,1,2,0
b'RasBundleGetPort',2,1,2,0
b'?Initialize@RichText@DirectUI@@QEAAJPEAVElement@2@PEAK@Z',2,1,2,0
b'I_NetlogonComputeServerSignature',2,1,2,0
b'I_NetlogonGetTrustRid',2,1,2,0
b'LsarOpenSecret',2,1,2,0
b'RtlMultiAppendUnicodeStringBuffer',2,1,2,0
b'RtlSetSecurityObjectEx',2,1,2,0
b'??0ustring@ngeo@@QEAA@XZ',2,1,2,0
b'RtlQueryInformationActivationContext',2,1,2,0
b'RtlReleaseFastLockShared',2,1,2,0
b'??0value@json@web@@QEAA@AEBV012@@Z',2,1,2,0
b'?ManipulationDelta@TouchScrollViewer@DirectUI@@SA?AVUID@@XZ',2,1,2,0
b'ImmGetHotKey',2,1,2,0
b'??1CmLogFile@@QEAA@XZ',2,1,2,0
b'FwpmCalloutDeleteByKey0',2,1,2,0
b'?Name@Registry@container@@YAAEAVNode@2@V?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z',2,1,2,0
b'?Name@Setup@container@@YAAEAVNode@2@V?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z',2,1,2,0
b'?OnListenerAttach@BaseScrollViewer@DirectUI@@UEAAXPEAVElement@2@@Z',2,1,2,0
b'mmioFlush',2,2,2,0
b'??0value@json@web@@QEAA@XZ',2,1,2,0
b'pSetupFree',2,1,2,0
b'InitPropVariantFromResource',2,1,2,0
b'ImmGetIMEFileNameW',2,1,2,0
b'?NewChildElementsAdded@TouchScrollViewer@DirectUI@@QEAAXXZ',2,1,2,0
b'InitPropVariantFromPropVariantVectorElem',2,1,2,0
b'mqrpcUnbindQMService',2,1,2,0
b'I_NetlogonComputeServerDigest',2,1,2,0
b'GdipGetGenericFontFamilySansSerif',2,1,0,2
b'IsCatalogFile',2,1,2,0
b'RasCompressionGetInfo',2,1,2,0
b'??0RichText@DirectUI@@QEAA@XZ',2,1,2,0
b'ImageDirectoryEntryToDataEx',2,2,2,0
b'RhTypeCast_IsInstanceOfInterface',2,1,2,0
b'RevertSecurityContext',2,1,2,0
b'ImageDirectoryEntryToData',2,2,2,0
b'?IsError@SC@mmcerror@@QEBA_NXZ',2,1,2,0
b'?IsEventEnabled@EventHandler@WSMan@@SA_NAEBU_EVENT_DESCRIPTOR@@@Z',2,1,2,0
b'_o___p___argv',2,1,2,0
b'IkeextSetConfigParameters0',2,1,2,0
b'GdipGetImageThumbnail',2,1,2,0
b'GdipGetImageRawFormat',2,1,2,0
b'NtUserCallNoParam',2,1,2,0
b'?IsFatalError@SNAPSHOT@@SAEJ@Z',2,1,2,0
b'GdiGetCharDimensions',2,1,2,0
b'_lfind_s',2,1,2,0
b'NtGdiSetOPMSigningKeyAndSequenceNumbers',2,2,2,0
b'??1CColumns@@QEAA@XZ',2,1,2,0
b'IsDialableChar',2,1,2,0
b'RasConnectionNotificationW',2,1,2,0
b'NtUnmapViewOfSectionEx',2,1,2,0
b'RhTypeCast_CheckCastInterface',2,1,2,0
b'??0ustring@ngeo@@QEAA@AEBV?$basic_string@GU?$char_traits@G@std@@V?$allocator@G@2@@std@@@Z',2,1,2,0
b'??1CheckedMutex@auf_v18@@QEAA@XZ',2,1,2,0
b'RtlSetThreadPoolStartFunc',2,1,2,0
b'I_NetlogonComputeClientDigest',2,1,2,0
b'I_NetlogonComputeClientSignature',2,1,2,0
b'InitPropVariantFromFloat',2,1,2,0
b'GdipGetAllPropertyItems',2,1,2,0
b'??0WMISchema@@QEAA@XZ',2,1,2,0
b'FwpmEventProviderDestroy0',2,1,2,0
b'GdipDrawPieI',2,1,2,0
b'_mbsupr',2,1,2,0
b'??1LocationInfo@ngeo@@QEAA@XZ',2,1,2,0
b'InitGadgets',2,2,2,0
b'??1?$AutoRelease@UIWbemPath@@@@QEAA@XZ',2,1,2,0
b'??1Location@ngeo@Microsoft@@UEAA@XZ',2,1,2,0
b'??1?$AutoRelease@UIWbemPathKeyList@@@@QEAA@XZ',2,1,2,0
b'??1?$AutoRelease@UIWbemQualifierSet@@@@QEAA@XZ',2,1,2,0
b'?OnListenedEvent@BaseScrollViewer@DirectUI@@UEAAXPEAVElement@2@PEAUEvent@2@@Z',2,1,2,0
b'??1CCBase@DirectUI@@UEAA@XZ',2,1,2,0
b'??1CopyrightRequest@BingOnlineServices@@QEAA@XZ',2,1,2,0
b'FwpmEventProviderCreate0',2,1,2,0
b'RouterFreePrinterNotifyInfo',2,1,2,0
b'??1?$AutoRelease@UIWbemContext@@@@QEAA@XZ',2,1,2,0
b'InitCommarg',2,1,2,0
b'FwpmEventProviderFireNetEvent0',2,1,2,0
b'FwpmEventProviderIsNetEventTypeEnabled0',2,1,2,0
b'LoadStringBaseExW',2,1,2,0
b'sqlite3_vfs_find',2,1,2,0
b'NtUnlockVirtualMemory',2,1,2,0
b'GdipDrawImageRectRect',2,1,2,0
b'InitAtomTable',2,2,1,1
b'??1?$AutoRelease@UIWbemServices@@@@QEAA@XZ',2,1,2,0
b'_get_stream_buffer_pointers',2,1,2,0
b'RpcServerInqCallAttributesA',2,1,2,0
b'??1DCSurface@DirectUI@@UEAA@XZ',2,1,2,0
b'??1?$AutoRelease@UIWbemLocator@@@@QEAA@XZ',2,1,2,0
b'RasDeviceGetInfo',2,1,2,0
b'?OnListenedPropertyChanging@BaseScrollViewer@DirectUI@@UEAA_NPEAVElement@2@PEBUPropertyInfo@2@HPEAVValue@2@2@Z',2,1,2,0
b'??1Macro@DirectUI@@UEAA@XZ',2,1,2,0
