Function,Name,Dll,AmountInGoodwares,AmountInRansomwares
b'?terminate@@YAXXZ',975,4,975,0
b'CoTaskMemAlloc',964,7,962,2
b'WaitForSingleObjectEx',948,5,947,1
b'ReleaseSemaphore',947,6,946,1
b'CreateThread',927,8,915,13
b'LoadStringW',924,5,922,2
b'?what@exception@@UEBAPEBDXZ',878,1,878,0
b'OpenProcessToken',877,8,867,10
b'ReleaseSRWLockExclusive',875,5,875,0
b'AcquireSRWLockExclusive',874,5,874,0
b'CoUninitialize',866,6,861,5
b'GetCurrentThread',856,7,847,9
b'RegEnumKeyExW',853,6,852,1
b'??0exception@@QEAA@AEBQEBDH@Z',833,1,833,0
b'EventWriteTransfer',824,3,824,0
b'SysFreeString',820,3,815,5
b'CreateSemaphoreExW',817,5,817,0
b'OpenSemaphoreW',800,5,800,0
b'realloc',790,6,788,2
b'EventSetInformation',786,2,786,0
b'RegGetValueW',780,6,780,0
b'WriteFile',773,7,747,29
b'RegDeleteValueW',772,6,769,3
b'RegQueryInfoKeyW',763,6,762,1
b'CreateMutexExW',763,4,763,0
b'CoInitializeEx',761,6,758,3
b'SysAllocString',760,2,756,4
b'GetTokenInformation',755,7,748,7
b'_wcsnicmp',737,7,736,1
b'LoadResource',732,7,723,9
b'??0exception@@QEAA@AEBQEBD@Z',715,1,715,0
b'wcscmp',711,7,710,1
b'DecodePointer',708,5,696,12
b'wcscpy_s',707,8,707,0
b'EventWrite',702,4,702,0
b'LoadLibraryW',692,8,682,10
b'EncodePointer',686,5,676,10
b'ExpandEnvironmentStringsW',682,4,680,2
b'OutputDebugStringA',680,5,677,3
b'ResetEvent',678,6,672,6
b'??0exception@@QEAA@XZ',677,1,677,0
b'RtlNtStatusToDosError',664,1,664,0
b'ReleaseSRWLockShared',664,4,664,0
b'memmove_s',663,6,663,0
b'AcquireSRWLockShared',659,4,659,0
b'lstrcmpiW',651,6,647,4
b'OpenThreadToken',649,7,644,5
b'TraceMessage',641,3,641,0
b'wcsstr',640,8,639,1
b'RtlInitUnicodeString',634,3,632,2
b'_errno',627,7,626,1
b'ReadFile',627,7,609,19
b'wcsrchr',624,8,622,2
b'DeleteFileW',615,7,607,8
b'UnregisterTraceGuids',596,4,596,0
b'GetTraceLoggerHandle',591,4,591,0
b'FindResourceExW',590,5,589,1
b'GetTraceEnableLevel',589,4,589,0
b'GetTraceEnableFlags',588,4,588,0
b'InitializeSRWLock',582,4,582,0
b'StringFromGUID2',581,7,579,2
b'GetVersionExW',572,7,568,4
b'FindClose',569,7,555,17
b'wcsncmp',566,7,565,1
b'SizeofResource',565,7,556,9
b'RegisterTraceGuidsW',564,3,564,0
b'IsDebuggerPresent',558,6,542,16
b'_cexit',555,4,554,1
b'exit',555,3,552,3
b'GetFileAttributesW',554,7,547,7
b'HeapReAlloc',551,5,533,18
b'CompareStringW',547,5,541,6
b'VariantClear',535,3,529,6
b'__setusermatherr',526,2,522,4
b'__set_app_type',526,2,522,4
b'_exit',525,2,522,3
b'GetSystemInfo',525,8,519,6
b'_commode',522,1,522,0
b'_fmode',522,1,522,0
b'TlsSetValue',522,8,502,20
b'??3@YAXPEAX@Z',508,4,508,0
b'RtlFreeHeap',504,1,504,0
b'LockResource',504,7,494,10
b'VariantInit',504,3,498,6
b'wcsncpy_s',498,7,498,0
b'GetLengthSid',495,6,493,2
b'GetSystemDirectoryW',493,6,490,3
b'RtlAllocateHeap',492,1,492,0
b'_vsnprintf',492,6,492,0
b'FindFirstFileW',490,7,483,7
b'SystemTimeToFileTime',489,7,483,6
b'TlsGetValue',489,8,469,20
b'CompareStringOrdinal',486,3,486,0
b'FindNextFileW',485,7,472,13
b'TlsAlloc',484,7,467,17
b'wcscat_s',472,6,472,0
b'TlsFree',470,7,454,16
b'FileTimeToSystemTime',466,7,462,4
b'InitializeCriticalSectionAndSpinCount',466,5,449,17
b'RegEnumValueW',464,6,463,1
b'OpenProcess',462,7,452,10
b'CreateDirectoryW',462,7,454,8
b'_vsnprintf_s',455,5,455,0
b'_wtoi',453,6,453,0
b'ApiSetQueryApiSetPresence',453,1,453,0
b'lstrlenW',450,6,441,9
b'SysStringLen',447,2,446,1
b'InitializeCriticalSectionEx',446,5,446,0
b'CharNextW',439,4,436,3
b'swprintf_s',435,6,435,0
b'VirtualAlloc',429,6,409,20
b'CoTaskMemRealloc',428,4,427,1
b'FreeSid',418,7,413,5
b'GetTickCount64',413,4,413,0
b'AllocateAndInitializeSid',412,6,410,2
b'RpcStringFreeW',405,1,405,0
